CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707575635.6118
MEM 13.796875 1707575635.7149
MEM 18.644531 1707575635.8153
MEM 19.007812 1707575635.9158
MEM 23.726562 1707575636.0161
MEM 27.261719 1707575636.1167
MEM 28.089844 1707575636.2184
MEM 34.167969 1707575636.3187
MEM 41.425781 1707575636.4190
MEM 44.468750 1707575636.5228
MEM 44.675781 1707575636.6236
MEM 45.164062 1707575636.7239
MEM 48.957031 1707575636.8244
MEM 52.718750 1707575636.9251
MEM 60.882812 1707575637.0254
MEM 68.992188 1707575637.1301
MEM 72.074219 1707575637.2318
MEM 89.515625 1707575637.3463
MEM 101.304688 1707575637.4497
MEM 101.304688 1707575637.5552
MEM 101.304688 1707575637.6606
MEM 102.488281 1707575637.7630
MEM 102.488281 1707575637.8647
MEM 102.730469 1707575637.9699
MEM 102.742188 1707575638.0745
MEM 102.742188 1707575638.1755
MEM 102.742188 1707575638.2808
MEM 102.742188 1707575638.3862
MEM 102.742188 1707575638.4865
MEM 102.875000 1707575638.5892
MEM 102.875000 1707575638.6897
MEM 102.875000 1707575638.7942
MEM 102.878906 1707575638.8977
MEM 103.273438 1707575638.9985
MEM 104.621094 1707575639.1007
MEM 128.800781 1707575639.2028
MEM 128.800781 1707575639.3082
MEM 128.800781 1707575639.4136
MEM 128.804688 1707575639.5177
MEM 128.804688 1707575639.6231
MEM 128.804688 1707575639.7268
MEM 128.804688 1707575639.8322
MEM 128.804688 1707575639.9327
MEM 128.804688 1707575640.0366
MEM 128.804688 1707575640.1420
MEM 128.804688 1707575640.2474
MEM 128.804688 1707575640.3512
MEM 128.804688 1707575640.4566
MEM 128.804688 1707575640.5571
MEM 128.804688 1707575640.6578
MEM 128.804688 1707575640.7602
MEM 128.804688 1707575640.8629
MEM 128.804688 1707575640.9650
MEM 128.804688 1707575641.0674
MEM 128.804688 1707575641.1699
MEM 128.804688 1707575641.2723
MEM 128.804688 1707575641.3751
MEM 128.804688 1707575641.4805
MEM 128.804688 1707575641.5824
MEM 128.804688 1707575641.6876
MEM 128.804688 1707575641.7930
MEM 128.804688 1707575641.8984
MEM 128.804688 1707575642.0036
MEM 128.808594 1707575642.1062
MEM 128.808594 1707575642.2068
MEM 128.808594 1707575642.3079
MEM 128.808594 1707575642.4134
MEM 128.808594 1707575642.5189
MEM 128.808594 1707575642.6243
MEM 128.785156 1707575642.7297
MEM 128.785156 1707575642.8301
MEM 128.785156 1707575642.9354
MEM 128.785156 1707575643.0409
MEM 128.785156 1707575643.1412
MEM 128.785156 1707575643.2414
MEM 128.042969 1707575643.3461
