CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 118.484375 1707562266.9028
MEM 118.558594 1707562267.0052
MEM 118.679688 1707562267.1063
MEM 118.753906 1707562267.2115
MEM 118.820312 1707562267.3132
MEM 118.949219 1707562267.4156
MEM 119.000000 1707562267.5182
MEM 119.054688 1707562267.6210
MEM 119.191406 1707562267.7232
MEM 119.257812 1707562267.8245
MEM 119.312500 1707562267.9297
MEM 119.363281 1707562268.0301
MEM 119.496094 1707562268.1323
MEM 119.566406 1707562268.2374
MEM 119.625000 1707562268.3377
MEM 119.753906 1707562268.4400
MEM 119.804688 1707562268.5421
MEM 119.863281 1707562268.6442
MEM 119.992188 1707562268.7452
MEM 120.066406 1707562268.8505
MEM 120.136719 1707562268.9514
MEM 120.257812 1707562269.0551
MEM 120.285156 1707562269.1554
MEM 120.328125 1707562269.2560
MEM 120.363281 1707562269.3611
MEM 120.406250 1707562269.4635
MEM 120.515625 1707562269.5651
MEM 120.582031 1707562269.6702
MEM 120.609375 1707562269.7707
MEM 120.648438 1707562269.8733
MEM 120.703125 1707562269.9736
MEM 120.812500 1707562270.0743
MEM 120.871094 1707562270.1752
MEM 120.917969 1707562270.2763
MEM 120.964844 1707562270.3774
MEM 121.101562 1707562270.4827
MEM 121.152344 1707562270.5880
MEM 121.222656 1707562270.6924
MEM 121.339844 1707562270.7948
MEM 121.390625 1707562270.8969
MEM 120.070312 1707562270.9993
MEM 129.082031 1707562271.1023
MEM 129.082031 1707562271.2046
MEM 129.082031 1707562271.3073
MEM 129.082031 1707562271.4097
MEM 129.082031 1707562271.5116
MEM 129.082031 1707562271.6171
MEM 129.082031 1707562271.7195
MEM 129.082031 1707562271.8223
MEM 129.558594 1707562271.9251
MEM 129.582031 1707562272.0263
MEM 129.609375 1707562272.1276
MEM 129.613281 1707562272.2287
MEM 129.613281 1707562272.3290
MEM 129.613281 1707562272.4322
MEM 129.617188 1707562272.5328
MEM 129.617188 1707562272.6373
MEM 129.617188 1707562272.7403
MEM 129.628906 1707562272.8411
MEM 129.785156 1707562272.9448
MEM 129.976562 1707562273.0462
MEM 129.976562 1707562273.1465
MEM 129.976562 1707562273.2479
MEM 129.984375 1707562273.3502
MEM 129.988281 1707562273.4661
MEM 129.992188 1707562273.5666
MEM 130.007812 1707562273.6692
MEM 130.066406 1707562273.7695
MEM 130.070312 1707562273.8697
MEM 130.070312 1707562273.9750
MEM 130.835938 1707562274.0760
MEM 130.835938 1707562274.1772
MEM 130.878906 1707562274.2775
MEM 130.863281 1707562274.3787
MEM 130.867188 1707562274.4792
MEM 130.867188 1707562274.5834
MEM 130.867188 1707562274.6850
MEM 130.867188 1707562274.7853
MEM 130.867188 1707562274.8857
MEM 130.867188 1707562274.9860
MEM 130.867188 1707562275.0864
MEM 130.867188 1707562275.1881
MEM 130.867188 1707562275.2909
MEM 130.867188 1707562275.3934
MEM 130.867188 1707562275.4956
MEM 130.867188 1707562275.5963
MEM 130.867188 1707562275.7016
MEM 130.867188 1707562275.8071
MEM 130.867188 1707562275.9125
MEM 130.867188 1707562276.0172
MEM 130.867188 1707562276.1198
MEM 130.867188 1707562276.2252
MEM 130.867188 1707562276.3265
MEM 130.867188 1707562276.4269
MEM 130.867188 1707562276.5292
MEM 130.867188 1707562276.6315
MEM 130.867188 1707562276.7339
MEM 130.867188 1707562276.8393
MEM 130.867188 1707562276.9431
MEM 130.867188 1707562277.0485
MEM 130.867188 1707562277.1493
MEM 130.867188 1707562277.2548
MEM 130.867188 1707562277.3602
MEM 130.867188 1707562277.4649
MEM 130.867188 1707562277.5703
MEM 130.867188 1707562277.6724
MEM 130.867188 1707562277.7749
MEM 130.867188 1707562277.8802
MEM 130.867188 1707562277.9848
MEM 130.867188 1707562278.0903
MEM 130.867188 1707562278.1918
MEM 130.867188 1707562278.2972
MEM 130.867188 1707562278.4027
MEM 130.867188 1707562278.5081
MEM 130.867188 1707562278.6116
MEM 130.867188 1707562278.7163
MEM 130.867188 1707562278.8217
MEM 130.867188 1707562278.9272
MEM 130.867188 1707562279.0326
MEM 130.867188 1707562279.1330
MEM 130.867188 1707562279.2363
MEM 130.867188 1707562279.3418
MEM 130.867188 1707562279.4472
MEM 130.820312 1707562279.5474
MEM 130.820312 1707562279.6528
MEM 130.820312 1707562279.7582
MEM 130.820312 1707562279.8611
MEM 130.820312 1707562279.9666
MEM 130.820312 1707562280.0720
MEM 130.820312 1707562280.1763
MEM 130.820312 1707562280.2817
MEM 130.820312 1707562280.3871
MEM 130.820312 1707562280.4876
MEM 130.820312 1707562280.5931
MEM 130.820312 1707562280.6953
MEM 130.820312 1707562280.8008
MEM 130.820312 1707562280.9012
MEM 130.820312 1707562281.0024
MEM 130.820312 1707562281.1035
MEM 130.820312 1707562281.2089
MEM 130.820312 1707562281.3143
MEM 130.820312 1707562281.4147
MEM 130.820312 1707562281.5201
MEM 130.820312 1707562281.6232
MEM 133.203125 1707562281.7245
MEM 128.167969 1707562281.8266
MEM 128.167969 1707562281.9276
MEM 128.167969 1707562282.0330
MEM 128.167969 1707562282.1385
MEM 128.253906 1707562282.2433
MEM 128.261719 1707562282.3449
MEM 128.261719 1707562282.4454
MEM 128.261719 1707562282.5508
MEM 128.261719 1707562282.6541
MEM 128.265625 1707562282.7596
MEM 128.265625 1707562282.8650
MEM 128.269531 1707562282.9654
MEM 128.269531 1707562283.0693
MEM 128.269531 1707562283.1705
MEM 128.269531 1707562283.2739
MEM 125.632812 1707562283.3791
