CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707562190.2310
MEM 14.335938 1707562190.3321
MEM 23.687500 1707562190.4325
MEM 34.710938 1707562190.5328
MEM 41.875000 1707562190.6353
MEM 46.117188 1707562190.7357
MEM 50.722656 1707562190.8379
MEM 53.406250 1707562190.9382
MEM 65.562500 1707562191.0400
MEM 71.968750 1707562191.1414
MEM 91.894531 1707562191.2423
MEM 101.496094 1707562191.3432
MEM 101.496094 1707562191.4435
MEM 101.496094 1707562191.5489
MEM 102.656250 1707562191.6521
MEM 102.855469 1707562191.7574
MEM 102.863281 1707562191.8597
MEM 102.863281 1707562191.9636
MEM 102.867188 1707562192.0690
MEM 102.871094 1707562192.1694
MEM 102.871094 1707562192.2734
MEM 102.875000 1707562192.3788
MEM 103.011719 1707562192.4837
MEM 103.015625 1707562192.5842
MEM 103.015625 1707562192.6869
MEM 103.015625 1707562192.7873
MEM 103.015625 1707562192.8928
MEM 103.015625 1707562192.9930
MEM 103.078125 1707562193.0967
MEM 103.765625 1707562193.1997
MEM 104.503906 1707562193.3020
MEM 105.207031 1707562193.4067
MEM 105.835938 1707562193.5118
MEM 105.687500 1707562193.6170
MEM 105.714844 1707562193.7222
MEM 106.000000 1707562193.8252
MEM 106.359375 1707562193.9304
MEM 107.363281 1707562194.0310
MEM 108.539062 1707562194.1362
MEM 109.699219 1707562194.2414
MEM 110.460938 1707562194.3463
MEM 111.578125 1707562194.4487
MEM 112.730469 1707562194.5539
MEM 113.867188 1707562194.6561
MEM 115.093750 1707562194.7613
MEM 116.621094 1707562194.8632
MEM 118.152344 1707562194.9653
MEM 119.652344 1707562195.0676
MEM 121.125000 1707562195.1700
MEM 122.406250 1707562195.2703
MEM 123.449219 1707562195.3726
MEM 124.933594 1707562195.4737
MEM 126.460938 1707562195.5760
MEM 128.113281 1707562195.6769
MEM 129.648438 1707562195.7809
MEM 131.230469 1707562195.8861
MEM 132.722656 1707562195.9888
MEM 134.253906 1707562196.0909
MEM 135.769531 1707562196.1936
MEM 136.585938 1707562196.2949
MEM 137.851562 1707562196.4001
MEM 139.343750 1707562196.5039
MEM 140.886719 1707562196.6091
MEM 142.367188 1707562196.7094
MEM 143.921875 1707562196.8146
MEM 145.476562 1707562196.9198
MEM 146.988281 1707562197.0224
MEM 148.515625 1707562197.1236
MEM 150.019531 1707562197.2245
MEM 150.585938 1707562197.3297
MEM 151.902344 1707562197.4349
MEM 153.703125 1707562197.5373
MEM 169.164062 1707562197.6386
MEM 169.429688 1707562197.7419
MEM 169.699219 1707562197.8444
MEM 169.957031 1707562197.9470
MEM 170.183594 1707562198.0522
MEM 170.414062 1707562198.1574
MEM 170.628906 1707562198.2615
MEM 170.800781 1707562198.3667
MEM 171.027344 1707562198.4719
MEM 171.250000 1707562198.5763
MEM 180.628906 1707562198.6817
MEM 180.628906 1707562198.7871
MEM 180.628906 1707562198.8925
MEM 180.628906 1707562198.9960
MEM 180.628906 1707562199.0977
MEM 180.628906 1707562199.2031
MEM 180.628906 1707562199.3085
MEM 180.628906 1707562199.4120
MEM 180.628906 1707562199.5174
MEM 180.628906 1707562199.6228
MEM 180.648438 1707562199.7230
MEM 180.847656 1707562199.8235
MEM 180.847656 1707562199.9256
MEM 181.117188 1707562200.0262
MEM 181.117188 1707562200.1266
MEM 181.117188 1707562200.2310
MEM 181.121094 1707562200.3364
MEM 181.121094 1707562200.4413
MEM 181.121094 1707562200.5415
MEM 181.121094 1707562200.6465
MEM 181.121094 1707562200.7521
MEM 181.125000 1707562200.8571
MEM 181.125000 1707562200.9622
MEM 181.128906 1707562201.0628
MEM 181.128906 1707562201.1644
MEM 181.136719 1707562201.2661
MEM 176.664062 1707562201.3688
MEM 176.843750 1707562201.4721
MEM 176.843750 1707562201.5730
MEM 176.843750 1707562201.6736
MEM 176.843750 1707562201.7780
MEM 176.843750 1707562201.8803
MEM 176.843750 1707562201.9806
MEM 176.925781 1707562202.0815
MEM 176.949219 1707562202.1819
MEM 176.996094 1707562202.2850
MEM 177.503906 1707562202.3854
MEM 177.503906 1707562202.4881
MEM 177.507812 1707562202.5884
MEM 177.500000 1707562202.6918
MEM 177.500000 1707562202.7972
