CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707564352.5418
MEM 15.078125 1707564352.6433
MEM 22.546875 1707564352.7465
MEM 28.234375 1707564352.8468
MEM 35.937500 1707564352.9484
MEM 41.832031 1707564353.0523
MEM 45.230469 1707564353.1530
MEM 49.273438 1707564353.2534
MEM 52.894531 1707564353.3575
MEM 64.046875 1707564353.4578
MEM 71.867188 1707564353.5627
MEM 88.289062 1707564353.6670
MEM 101.207031 1707564353.7673
MEM 101.843750 1707564353.8710
MEM 101.949219 1707564353.9733
MEM 103.132812 1707564354.0757
MEM 103.132812 1707564354.1804
MEM 103.136719 1707564354.2814
MEM 103.136719 1707564354.3819
MEM 103.136719 1707564354.4841
MEM 103.136719 1707564354.5882
MEM 103.136719 1707564354.6891
MEM 103.250000 1707564354.7918
MEM 103.253906 1707564354.8930
MEM 103.308594 1707564354.9961
MEM 103.585938 1707564355.0970
MEM 104.292969 1707564355.2022
MEM 104.960938 1707564355.3033
MEM 105.492188 1707564355.4085
MEM 106.019531 1707564355.5137
MEM 106.464844 1707564355.6188
MEM 105.902344 1707564355.7240
MEM 106.042969 1707564355.8291
MEM 106.265625 1707564355.9343
MEM 106.636719 1707564356.0373
MEM 107.046875 1707564356.1425
MEM 107.347656 1707564356.2476
MEM 107.652344 1707564356.3528
MEM 107.945312 1707564356.4573
MEM 108.304688 1707564356.5619
MEM 108.585938 1707564356.6635
MEM 108.859375 1707564356.7670
MEM 109.128906 1707564356.8689
MEM 109.386719 1707564356.9732
MEM 109.621094 1707564357.0739
MEM 109.843750 1707564357.1764
MEM 110.074219 1707564357.2777
MEM 110.218750 1707564357.3805
MEM 110.468750 1707564357.4829
MEM 110.675781 1707564357.5857
MEM 110.839844 1707564357.6878
MEM 110.906250 1707564357.7902
MEM 111.113281 1707564357.8926
MEM 111.312500 1707564357.9946
MEM 111.441406 1707564358.0969
MEM 111.628906 1707564358.1972
MEM 111.804688 1707564358.2996
MEM 111.921875 1707564358.4038
MEM 112.117188 1707564358.5063
MEM 112.210938 1707564358.6084
MEM 112.375000 1707564358.7092
MEM 112.496094 1707564358.8103
MEM 112.656250 1707564358.9155
MEM 112.765625 1707564359.0206
MEM 112.957031 1707564359.1258
MEM 113.117188 1707564359.2310
MEM 113.222656 1707564359.3325
MEM 113.410156 1707564359.4377
MEM 113.523438 1707564359.5429
MEM 113.679688 1707564359.6457
MEM 113.792969 1707564359.7508
MEM 113.980469 1707564359.8560
MEM 114.160156 1707564359.9593
MEM 114.246094 1707564360.0644
MEM 114.402344 1707564360.1697
MEM 114.511719 1707564360.2708
MEM 114.636719 1707564360.3760
MEM 114.746094 1707564360.4813
MEM 114.914062 1707564360.5833
MEM 115.050781 1707564360.6884
MEM 115.226562 1707564360.7936
MEM 115.398438 1707564360.8987
MEM 115.503906 1707564361.0013
MEM 115.671875 1707564361.1049
MEM 115.757812 1707564361.2051
MEM 115.917969 1707564361.3062
MEM 116.015625 1707564361.4114
MEM 116.132812 1707564361.5138
MEM 116.253906 1707564361.6189
MEM 116.332031 1707564361.7241
MEM 116.488281 1707564361.8263
MEM 116.593750 1707564361.9315
MEM 116.746094 1707564362.0367
