CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707562068.0837
MEM 13.566406 1707562068.1840
MEM 22.945312 1707562068.2843
MEM 32.687500 1707562068.3848
MEM 41.324219 1707562068.4851
MEM 44.953125 1707562068.5902
MEM 49.292969 1707562068.6911
MEM 52.738281 1707562068.7928
MEM 64.570312 1707562068.8948
MEM 71.707031 1707562068.9961
MEM 88.359375 1707562069.0978
MEM 101.441406 1707562069.2009
MEM 101.441406 1707562069.3037
MEM 101.441406 1707562069.4048
MEM 102.593750 1707562069.5073
MEM 102.593750 1707562069.6108
MEM 102.816406 1707562069.7144
MEM 102.914062 1707562069.8185
MEM 102.914062 1707562069.9216
MEM 102.914062 1707562070.0223
MEM 102.914062 1707562070.1267
MEM 103.054688 1707562070.2321
MEM 103.058594 1707562070.3375
MEM 103.058594 1707562070.4379
MEM 103.058594 1707562070.5393
MEM 103.058594 1707562070.6396
MEM 103.062500 1707562070.7450
MEM 103.062500 1707562070.8504
MEM 103.117188 1707562070.9518
MEM 103.378906 1707562071.0521
MEM 104.812500 1707562071.1544
MEM 128.917969 1707562071.2571
MEM 128.917969 1707562071.3625
MEM 128.917969 1707562071.4643
MEM 128.917969 1707562071.5687
MEM 129.371094 1707562071.6705
MEM 129.441406 1707562071.7709
MEM 129.441406 1707562071.8763
MEM 129.445312 1707562071.9769
MEM 129.445312 1707562072.0812
MEM 129.445312 1707562072.1816
MEM 129.445312 1707562072.2858
MEM 129.453125 1707562072.3877
MEM 129.453125 1707562072.4887
MEM 129.457031 1707562072.5913
MEM 129.644531 1707562072.6917
MEM 129.832031 1707562072.7920
MEM 129.832031 1707562072.8923
MEM 129.832031 1707562072.9975
MEM 129.832031 1707562073.1021
MEM 129.832031 1707562073.2175
MEM 129.832031 1707562073.3222
MEM 129.855469 1707562073.4239
MEM 129.945312 1707562073.5241
MEM 129.953125 1707562073.6274
MEM 129.953125 1707562073.7276
MEM 130.664062 1707562073.8279
MEM 130.683594 1707562073.9435
MEM 130.683594 1707562074.0447
MEM 130.691406 1707562074.1450
MEM 130.671875 1707562074.2457
MEM 130.671875 1707562074.3475
MEM 130.675781 1707562074.4503
MEM 130.675781 1707562074.5555
MEM 130.683594 1707562074.6558
MEM 130.683594 1707562074.7593
MEM 130.683594 1707562074.8645
MEM 130.683594 1707562074.9697
MEM 130.683594 1707562075.0714
MEM 130.687500 1707562075.1723
MEM 130.687500 1707562075.2727
MEM 130.687500 1707562075.3741
MEM 130.691406 1707562075.4744
MEM 130.691406 1707562075.5750
MEM 130.691406 1707562075.6758
MEM 130.691406 1707562075.7771
MEM 130.695312 1707562075.8807
MEM 130.695312 1707562075.9811
MEM 130.695312 1707562076.0820
MEM 130.695312 1707562076.1828
MEM 130.695312 1707562076.2835
MEM 130.695312 1707562076.3839
MEM 130.703125 1707562076.4878
MEM 130.703125 1707562076.5906
MEM 130.703125 1707562076.6910
MEM 130.703125 1707562076.7924
MEM 130.703125 1707562076.8968
MEM 130.703125 1707562076.9987
MEM 130.703125 1707562077.1041
MEM 130.703125 1707562077.2096
MEM 130.703125 1707562077.3105
MEM 130.703125 1707562077.4117
MEM 130.703125 1707562077.5171
MEM 130.707031 1707562077.6175
MEM 130.707031 1707562077.7194
MEM 130.707031 1707562077.8218
MEM 130.707031 1707562077.9251
MEM 130.707031 1707562078.0305
MEM 130.707031 1707562078.1330
MEM 130.707031 1707562078.2338
MEM 130.707031 1707562078.3390
MEM 130.707031 1707562078.4441
MEM 130.707031 1707562078.5496
MEM 130.707031 1707562078.6505
MEM 130.707031 1707562078.7510
MEM 130.710938 1707562078.8538
MEM 130.710938 1707562078.9592
MEM 130.710938 1707562079.0643
MEM 126.015625 1707562079.1697
MEM 126.015625 1707562079.2751
MEM 126.015625 1707562079.3805
MEM 126.015625 1707562079.4935
MEM 125.976562 1707562079.5988
MEM 125.976562 1707562079.7042
MEM 125.976562 1707562079.8096
MEM 125.976562 1707562079.9138
MEM 125.976562 1707562080.0164
MEM 125.773438 1707562080.1186
MEM 125.773438 1707562080.2208
MEM 125.773438 1707562080.3232
MEM 125.773438 1707562080.4287
MEM 125.773438 1707562080.5341
MEM 125.773438 1707562080.6395
MEM 125.773438 1707562080.7405
MEM 125.773438 1707562080.8459
MEM 125.773438 1707562080.9513
MEM 125.773438 1707562081.0517
MEM 125.773438 1707562081.1545
MEM 121.062500 1707562081.2564
MEM 121.062500 1707562081.3598
MEM 121.062500 1707562081.4616
MEM 121.062500 1707562081.5635
MEM 121.062500 1707562081.6664
MEM 121.062500 1707562081.7676
MEM 121.062500 1707562081.8713
MEM 121.062500 1707562081.9736
MEM 121.062500 1707562082.0745
MEM 120.960938 1707562082.1784
MEM 120.960938 1707562082.2809
MEM 120.960938 1707562082.3813
MEM 120.960938 1707562082.4820
MEM 120.960938 1707562082.5857
MEM 120.960938 1707562082.6904
MEM 120.972656 1707562082.7940
MEM 120.972656 1707562082.8976
MEM 120.972656 1707562082.9991
MEM 120.972656 1707562083.0998
MEM 120.972656 1707562083.2012
MEM 120.972656 1707562083.3022
MEM 120.972656 1707562083.4048
MEM 120.972656 1707562083.5059
MEM 120.972656 1707562083.6090
MEM 120.972656 1707562083.7097
MEM 120.945312 1707562083.8148
MEM 120.945312 1707562083.9156
MEM 120.945312 1707562084.0210
MEM 120.945312 1707562084.1237
MEM 120.945312 1707562084.2241
MEM 120.945312 1707562084.3289
MEM 120.945312 1707562084.4312
MEM 120.945312 1707562084.5337
MEM 120.945312 1707562084.6343
MEM 120.945312 1707562084.7380
MEM 120.945312 1707562084.8434
MEM 120.945312 1707562084.9488
MEM 120.945312 1707562085.0543
MEM 120.945312 1707562085.1569
MEM 120.945312 1707562085.2623
MEM 120.945312 1707562085.3677
MEM 120.945312 1707562085.4732
MEM 120.945312 1707562085.5786
MEM 120.945312 1707562085.6841
MEM 120.945312 1707562085.7845
MEM 120.945312 1707562085.8861
MEM 120.945312 1707562085.9895
MEM 120.945312 1707562086.0949
MEM 120.945312 1707562086.2002
MEM 120.945312 1707562086.3056
MEM 120.945312 1707562086.4087
MEM 120.945312 1707562086.5141
MEM 120.945312 1707562086.6192
MEM 120.945312 1707562086.7246
MEM 120.945312 1707562086.8300
MEM 120.945312 1707562086.9313
MEM 120.945312 1707562087.0368
MEM 120.945312 1707562087.1422
MEM 120.945312 1707562087.2476
MEM 120.945312 1707562087.3530
MEM 120.945312 1707562087.4585
MEM 120.945312 1707562087.5639
MEM 120.945312 1707562087.6694
MEM 120.945312 1707562087.7748
MEM 120.914062 1707562087.8754
MEM 120.914062 1707562087.9808
MEM 120.914062 1707562088.0862
MEM 120.914062 1707562088.1916
MEM 120.914062 1707562088.2970
MEM 120.914062 1707562088.4025
MEM 120.914062 1707562088.5079
MEM 120.914062 1707562088.6131
MEM 120.914062 1707562088.7160
MEM 122.117188 1707562088.8204
MEM 122.117188 1707562088.9208
MEM 122.117188 1707562089.0233
MEM 122.117188 1707562089.1254
MEM 122.117188 1707562089.2303
MEM 122.117188 1707562089.3357
MEM 122.117188 1707562089.4410
MEM 122.117188 1707562089.5464
MEM 122.117188 1707562089.6518
MEM 122.117188 1707562089.7555
MEM 122.117188 1707562089.8593
MEM 122.117188 1707562089.9637
MEM 123.812500 1707562090.0640
MEM 123.796875 1707562090.1705
MEM 123.796875 1707562090.2756
MEM 123.796875 1707562090.3810
MEM 123.796875 1707562090.4864
MEM 123.699219 1707562090.5895
MEM 123.988281 1707562090.6949
MEM 123.988281 1707562090.7954
MEM 123.988281 1707562090.9003
MEM 123.992188 1707562091.0030
MEM 124.015625 1707562091.1050
MEM 124.019531 1707562091.2095
MEM 124.019531 1707562091.3133
MEM 124.019531 1707562091.4169
MEM 124.027344 1707562091.5191
MEM 124.027344 1707562091.6200
MEM 124.027344 1707562091.7252
MEM 124.027344 1707562091.8306
MEM 124.027344 1707562091.9361
MEM 124.027344 1707562092.0419
MEM 124.027344 1707562092.1453
MEM 124.027344 1707562092.2507
MEM 124.027344 1707562092.3536
MEM 124.027344 1707562092.4591
MEM 124.027344 1707562092.5645
MEM 124.027344 1707562092.6699
MEM 124.027344 1707562092.7753
MEM 124.027344 1707562092.8761
MEM 124.027344 1707562092.9815
MEM 124.027344 1707562093.0835
MEM 124.027344 1707562093.1888
MEM 124.027344 1707562093.2942
MEM 124.027344 1707562093.3996
MEM 124.027344 1707562093.5051
MEM 124.027344 1707562093.6099
MEM 124.027344 1707562093.7153
MEM 124.027344 1707562093.8209
MEM 124.027344 1707562093.9263
MEM 124.027344 1707562094.0317
MEM 124.027344 1707562094.1372
MEM 124.027344 1707562094.2426
MEM 124.027344 1707562094.3456
MEM 124.027344 1707562094.4480
MEM 124.027344 1707562094.5503
MEM 124.027344 1707562094.6541
MEM 124.027344 1707562094.7550
MEM 124.027344 1707562094.8574
MEM 124.027344 1707562094.9605
MEM 124.027344 1707562095.0656
MEM 123.980469 1707562095.1710
MEM 123.980469 1707562095.2740
MEM 123.980469 1707562095.3794
MEM 123.980469 1707562095.4848
MEM 123.980469 1707562095.5903
MEM 123.980469 1707562095.6950
MEM 123.980469 1707562095.7970
MEM 123.980469 1707562095.9023
MEM 123.980469 1707562096.0028
MEM 123.980469 1707562096.1045
MEM 123.980469 1707562096.2062
MEM 123.980469 1707562096.3091
MEM 123.937500 1707562096.4117
MEM 123.937500 1707562096.5137
MEM 123.937500 1707562096.6139
MEM 123.937500 1707562096.7179
MEM 123.937500 1707562096.8208
MEM 123.937500 1707562096.9233
MEM 123.937500 1707562097.0236
MEM 123.937500 1707562097.1281
MEM 123.937500 1707562097.2305
MEM 123.937500 1707562097.3329
MEM 123.937500 1707562097.4352
MEM 123.937500 1707562097.5377
MEM 123.937500 1707562097.6402
MEM 123.937500 1707562097.7426
MEM 123.937500 1707562097.8449
MEM 123.937500 1707562097.9473
MEM 123.937500 1707562098.0497
MEM 123.937500 1707562098.1517
MEM 123.937500 1707562098.2545
MEM 123.937500 1707562098.3569
MEM 123.941406 1707562098.4571
MEM 123.941406 1707562098.5579
MEM 123.941406 1707562098.6611
MEM 123.945312 1707562098.7617
MEM 123.945312 1707562098.8620
MEM 123.949219 1707562098.9631
MEM 123.949219 1707562099.0685
MEM 123.949219 1707562099.1739
MEM 123.949219 1707562099.2784
MEM 123.953125 1707562099.3788
