CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707561021.7892
MEM 16.476562 1707561021.8904
MEM 18.699219 1707561021.9916
MEM 19.421875 1707561022.0985
MEM 22.535156 1707561022.1995
MEM 23.222656 1707561022.3017
MEM 26.960938 1707561022.4069
MEM 28.300781 1707561022.5120
MEM 32.503906 1707561022.6132
MEM 40.308594 1707561022.7134
MEM 42.550781 1707561022.8160
MEM 44.445312 1707561022.9195
MEM 44.445312 1707561023.0222
MEM 46.542969 1707561023.1232
MEM 51.546875 1707561023.2254
MEM 58.753906 1707561023.3267
MEM 63.085938 1707561023.4279
MEM 70.757812 1707561023.5291
MEM 88.156250 1707561023.6334
MEM 101.332031 1707561023.7339
MEM 101.332031 1707561023.8374
MEM 101.332031 1707561023.9382
MEM 102.496094 1707561024.0420
MEM 102.496094 1707561024.1472
MEM 102.496094 1707561024.2476
MEM 102.496094 1707561024.3513
MEM 102.496094 1707561024.4532
MEM 102.703125 1707561024.5570
MEM 102.703125 1707561024.6625
MEM 102.703125 1707561024.7641
MEM 102.703125 1707561024.8651
MEM 102.703125 1707561024.9702
MEM 102.703125 1707561025.0710
MEM 102.707031 1707561025.1714
MEM 102.710938 1707561025.2740
MEM 102.710938 1707561025.3759
MEM 102.714844 1707561025.4777
MEM 102.714844 1707561025.5787
MEM 102.847656 1707561025.6816
MEM 102.847656 1707561025.7845
MEM 102.847656 1707561025.8852
MEM 102.847656 1707561025.9879
MEM 102.847656 1707561026.0889
MEM 102.847656 1707561026.1943
MEM 102.847656 1707561026.2993
MEM 102.847656 1707561026.4047
MEM 102.847656 1707561026.5051
MEM 102.847656 1707561026.6104
MEM 102.847656 1707561026.7114
MEM 102.847656 1707561026.8140
MEM 102.847656 1707561026.9194
MEM 102.847656 1707561027.0250
MEM 102.847656 1707561027.1304
MEM 102.847656 1707561027.2320
MEM 102.847656 1707561027.3348
MEM 102.847656 1707561027.4400
