CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707561867.3388
MEM 15.679688 1707561867.4434
MEM 21.910156 1707561867.5437
MEM 28.214844 1707561867.6471
MEM 35.273438 1707561867.7476
MEM 41.488281 1707561867.8486
MEM 45.898438 1707561867.9517
MEM 50.453125 1707561868.0561
MEM 58.437500 1707561868.1592
MEM 66.140625 1707561868.2596
MEM 72.003906 1707561868.3630
MEM 97.738281 1707561868.4751
MEM 101.308594 1707561868.5764
MEM 101.308594 1707561868.6787
MEM 102.218750 1707561868.7793
MEM 102.492188 1707561868.8840
MEM 102.492188 1707561868.9857
MEM 102.492188 1707561869.0882
MEM 102.929688 1707561869.1890
MEM 102.933594 1707561869.2930
MEM 102.937500 1707561869.3954
MEM 102.937500 1707561869.4978
MEM 102.937500 1707561869.6001
MEM 103.066406 1707561869.7038
MEM 103.074219 1707561869.8053
MEM 103.074219 1707561869.9056
MEM 103.074219 1707561870.0060
MEM 103.074219 1707561870.1100
MEM 103.074219 1707561870.2146
MEM 103.074219 1707561870.3173
MEM 103.074219 1707561870.4195
MEM 103.195312 1707561870.5218
MEM 103.484375 1707561870.6224
MEM 103.671875 1707561870.7249
MEM 103.671875 1707561870.8271
MEM 103.671875 1707561870.9276
MEM 103.671875 1707561871.0279
MEM 103.671875 1707561871.1284
MEM 103.671875 1707561871.2287
MEM 103.671875 1707561871.3337
MEM 103.671875 1707561871.4340
MEM 103.671875 1707561871.5344
MEM 103.679688 1707561871.6350
MEM 103.714844 1707561871.7353
MEM 103.832031 1707561871.8382
MEM 103.835938 1707561871.9389
MEM 104.027344 1707561872.0397
MEM 104.464844 1707561872.1425
MEM 104.468750 1707561872.2444
MEM 104.468750 1707561872.3495
MEM 104.472656 1707561872.4507
MEM 104.464844 1707561872.5515
MEM 104.472656 1707561872.6519
MEM 104.476562 1707561872.7545
MEM 104.476562 1707561872.8549
MEM 104.476562 1707561872.9565
MEM 104.476562 1707561873.0577
MEM 104.476562 1707561873.1594
MEM 104.480469 1707561873.2603
MEM 104.480469 1707561873.3625
MEM 104.480469 1707561873.4636
MEM 104.480469 1707561873.5639
MEM 104.480469 1707561873.6669
MEM 104.480469 1707561873.7696
MEM 104.480469 1707561873.8748
MEM 104.480469 1707561873.9752
MEM 104.480469 1707561874.0754
MEM 104.480469 1707561874.1757
MEM 104.480469 1707561874.2767
MEM 104.480469 1707561874.3769
MEM 104.480469 1707561874.4778
MEM 104.480469 1707561874.5782
MEM 104.480469 1707561874.6787
MEM 104.480469 1707561874.7791
MEM 104.480469 1707561874.8798
MEM 104.480469 1707561874.9834
MEM 104.480469 1707561875.0837
MEM 104.480469 1707561875.1846
MEM 104.480469 1707561875.2853
MEM 104.480469 1707561875.3856
MEM 104.480469 1707561875.4868
MEM 104.480469 1707561875.5874
MEM 104.484375 1707561875.6900
MEM 104.484375 1707561875.7916
MEM 104.484375 1707561875.8922
MEM 104.484375 1707561875.9926
MEM 104.484375 1707561876.0931
MEM 104.484375 1707561876.1953
MEM 104.484375 1707561876.2955
