CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707564426.7464
MEM 15.378906 1707564426.8483
MEM 23.457031 1707564426.9489
MEM 33.980469 1707564427.0499
MEM 41.390625 1707564427.1518
MEM 45.800781 1707564427.2570
MEM 50.210938 1707564427.3591
MEM 52.847656 1707564427.4644
MEM 65.691406 1707564427.5650
MEM 72.007812 1707564427.6693
MEM 94.636719 1707564427.7776
MEM 101.296875 1707564427.8804
MEM 101.296875 1707564427.9847
MEM 101.300781 1707564428.0877
MEM 102.500000 1707564428.1892
MEM 102.640625 1707564428.2918
MEM 102.738281 1707564428.3950
MEM 102.738281 1707564428.4959
MEM 102.742188 1707564428.6010
MEM 102.742188 1707564428.7054
MEM 102.742188 1707564428.8080
MEM 102.746094 1707564428.9114
MEM 102.746094 1707564429.0123
MEM 102.886719 1707564429.1147
MEM 102.886719 1707564429.2201
MEM 102.886719 1707564429.3232
MEM 102.886719 1707564429.4244
MEM 102.886719 1707564429.5248
MEM 102.886719 1707564429.6281
MEM 102.910156 1707564429.7290
MEM 102.953125 1707564429.8335
MEM 104.550781 1707564429.9351
MEM 128.761719 1707564430.0385
MEM 128.761719 1707564430.1440
MEM 128.761719 1707564430.2488
MEM 128.761719 1707564430.3542
MEM 128.761719 1707564430.4596
MEM 128.761719 1707564430.5646
MEM 128.761719 1707564430.6675
MEM 128.761719 1707564430.7699
MEM 128.761719 1707564430.8726
MEM 128.761719 1707564430.9745
MEM 128.761719 1707564431.0772
MEM 128.761719 1707564431.1798
MEM 128.761719 1707564431.2823
MEM 128.761719 1707564431.3847
MEM 128.761719 1707564431.4890
MEM 128.761719 1707564431.5894
MEM 128.761719 1707564431.6918
MEM 128.761719 1707564431.7940
MEM 128.761719 1707564431.8967
MEM 128.761719 1707564431.9994
MEM 128.761719 1707564432.1015
MEM 128.761719 1707564432.2023
MEM 128.761719 1707564432.3059
MEM 128.761719 1707564432.4087
MEM 128.761719 1707564432.5111
MEM 128.765625 1707564432.6133
MEM 128.765625 1707564432.7156
MEM 128.765625 1707564432.8183
MEM 128.765625 1707564432.9207
MEM 128.765625 1707564433.0261
MEM 128.765625 1707564433.1273
MEM 128.765625 1707564433.2276
MEM 128.765625 1707564433.3299
MEM 128.765625 1707564433.4325
MEM 128.765625 1707564433.5368
MEM 128.765625 1707564433.6373
MEM 128.765625 1707564433.7398
MEM 128.765625 1707564433.8423
MEM 128.765625 1707564433.9443
MEM 128.765625 1707564434.0467
MEM 128.765625 1707564434.1491
MEM 128.765625 1707564434.2545
MEM 128.765625 1707564434.3600
MEM 128.765625 1707564434.4654
MEM 128.765625 1707564434.5708
MEM 128.765625 1707564434.6740
MEM 128.765625 1707564434.7742
MEM 129.207031 1707564434.8762
MEM 129.222656 1707564434.9816
MEM 129.222656 1707564435.0858
MEM 129.222656 1707564435.1874
MEM 129.246094 1707564435.2885
MEM 129.246094 1707564435.3925
MEM 129.246094 1707564435.4929
MEM 129.250000 1707564435.5949
MEM 129.250000 1707564435.6972
MEM 129.250000 1707564435.8014
MEM 129.250000 1707564435.9054
MEM 129.250000 1707564436.0061
MEM 129.250000 1707564436.1115
MEM 129.250000 1707564436.2141
MEM 129.351562 1707564436.3195
MEM 129.351562 1707564436.4250
MEM 129.359375 1707564436.5252
MEM 129.359375 1707564436.6296
MEM 129.359375 1707564436.7334
MEM 129.359375 1707564436.8340
MEM 129.359375 1707564436.9394
MEM 129.359375 1707564437.0449
MEM 129.359375 1707564437.1503
MEM 129.359375 1707564437.2559
MEM 129.359375 1707564437.3613
MEM 129.359375 1707564437.4667
MEM 129.359375 1707564437.5721
MEM 129.359375 1707564437.6776
MEM 124.664062 1707564437.7779
MEM 124.664062 1707564437.8796
MEM 124.792969 1707564437.9817
MEM 124.792969 1707564438.0820
MEM 124.792969 1707564438.1875
MEM 124.796875 1707564438.2929
MEM 124.796875 1707564438.3950
MEM 124.796875 1707564438.5004
MEM 124.796875 1707564438.6058
MEM 124.796875 1707564438.7100
MEM 124.968750 1707564438.8107
MEM 125.144531 1707564438.9147
MEM 125.144531 1707564439.0179
MEM 125.144531 1707564439.1196
MEM 125.144531 1707564439.2211
MEM 125.144531 1707564439.3376
MEM 125.144531 1707564439.4391
MEM 125.175781 1707564439.5452
MEM 125.242188 1707564439.6461
MEM 125.246094 1707564439.7465
MEM 125.734375 1707564439.8517
MEM 125.800781 1707564439.9529
MEM 121.101562 1707564440.0546
MEM 121.101562 1707564440.1578
MEM 121.101562 1707564440.2630
MEM 121.105469 1707564440.3649
MEM 121.105469 1707564440.4667
MEM 121.109375 1707564440.5696
MEM 121.109375 1707564440.6706
MEM 121.109375 1707564440.7759
MEM 121.109375 1707564440.8792
MEM 121.113281 1707564440.9845
MEM 121.113281 1707564441.0897
MEM 121.113281 1707564441.1949
MEM 121.113281 1707564441.2971
MEM 121.117188 1707564441.3975
MEM 121.117188 1707564441.4980
MEM 121.117188 1707564441.5985
MEM 121.117188 1707564441.6993
MEM 121.117188 1707564441.8032
MEM 121.121094 1707564441.9075
MEM 121.121094 1707564442.0077
MEM 121.121094 1707564442.1082
MEM 121.121094 1707564442.2085
MEM 121.121094 1707564442.3090
MEM 121.121094 1707564442.4093
MEM 121.121094 1707564442.5096
MEM 121.121094 1707564442.6101
MEM 121.121094 1707564442.7114
MEM 121.121094 1707564442.8138
MEM 121.121094 1707564442.9167
MEM 121.121094 1707564443.0183
MEM 121.121094 1707564443.1190
MEM 121.121094 1707564443.2207
MEM 121.121094 1707564443.3213
MEM 121.121094 1707564443.4259
MEM 121.121094 1707564443.5264
MEM 121.121094 1707564443.6304
MEM 121.121094 1707564443.7307
MEM 121.121094 1707564443.8350
MEM 121.121094 1707564443.9355
MEM 121.121094 1707564444.0386
MEM 121.121094 1707564444.1440
MEM 121.121094 1707564444.2489
MEM 121.121094 1707564444.3516
MEM 121.125000 1707564444.4541
MEM 121.125000 1707564444.5585
MEM 121.125000 1707564444.6589
MEM 121.125000 1707564444.7623
MEM 121.128906 1707564444.8640
MEM 121.136719 1707564444.9646
MEM 121.136719 1707564445.0679
MEM 121.136719 1707564445.1714
MEM 121.136719 1707564445.2740
MEM 121.136719 1707564445.3787
MEM 121.136719 1707564445.4796
MEM 121.136719 1707564445.5847
MEM 121.136719 1707564445.6901
MEM 121.136719 1707564445.7955
MEM 121.136719 1707564445.9009
MEM 121.136719 1707564446.0055
MEM 121.136719 1707564446.1109
MEM 121.136719 1707564446.2163
MEM 121.035156 1707564446.3171
MEM 121.035156 1707564446.4193
MEM 121.035156 1707564446.5217
MEM 121.035156 1707564446.6263
MEM 121.035156 1707564446.7317
MEM 120.933594 1707564446.8346
MEM 120.933594 1707564446.9400
MEM 120.933594 1707564447.0455
MEM 120.933594 1707564447.1479
MEM 120.933594 1707564447.2516
MEM 120.933594 1707564447.3569
MEM 120.933594 1707564447.4608
MEM 120.933594 1707564447.5630
MEM 120.933594 1707564447.6658
MEM 120.933594 1707564447.7693
MEM 120.933594 1707564447.8747
MEM 120.933594 1707564447.9802
MEM 120.933594 1707564448.0856
MEM 120.933594 1707564448.1893
MEM 120.933594 1707564448.2948
MEM 120.933594 1707564448.4002
MEM 120.933594 1707564448.5056
MEM 120.933594 1707564448.6110
MEM 120.933594 1707564448.7165
MEM 120.933594 1707564448.8178
MEM 120.933594 1707564448.9219
MEM 120.933594 1707564449.0273
MEM 120.933594 1707564449.1328
MEM 120.933594 1707564449.2382
MEM 120.933594 1707564449.3437
MEM 120.933594 1707564449.4462
MEM 120.933594 1707564449.5516
MEM 120.933594 1707564449.6561
MEM 120.933594 1707564449.7578
MEM 120.906250 1707564449.8614
MEM 120.906250 1707564449.9668
MEM 120.906250 1707564450.0722
MEM 120.906250 1707564450.1777
MEM 120.906250 1707564450.2831
MEM 120.871094 1707564450.3857
MEM 120.871094 1707564450.4911
MEM 120.871094 1707564450.5914
MEM 123.550781 1707564450.6964
MEM 123.550781 1707564450.7980
MEM 123.550781 1707564450.9034
MEM 123.550781 1707564451.0088
MEM 123.550781 1707564451.1142
MEM 123.550781 1707564451.2160
MEM 123.550781 1707564451.3164
MEM 123.550781 1707564451.4217
MEM 123.550781 1707564451.5271
MEM 123.550781 1707564451.6316
MEM 123.550781 1707564451.7329
MEM 123.550781 1707564451.8373
MEM 123.550781 1707564451.9384
MEM 123.550781 1707564452.0396
MEM 123.550781 1707564452.1408
MEM 123.550781 1707564452.2415
MEM 123.550781 1707564452.3469
MEM 123.550781 1707564452.4523
MEM 123.550781 1707564452.5577
MEM 123.550781 1707564452.6581
MEM 123.550781 1707564452.7611
MEM 123.550781 1707564452.8647
MEM 123.550781 1707564452.9670
MEM 123.550781 1707564453.0726
MEM 123.550781 1707564453.1747
MEM 123.550781 1707564453.2770
MEM 123.550781 1707564453.3793
MEM 123.550781 1707564453.4819
MEM 123.550781 1707564453.5842
MEM 123.550781 1707564453.6863
MEM 123.550781 1707564453.7869
MEM 123.550781 1707564453.8911
MEM 123.550781 1707564453.9937
MEM 123.550781 1707564454.0974
MEM 123.550781 1707564454.1984
MEM 123.550781 1707564454.3006
MEM 123.550781 1707564454.4032
MEM 123.550781 1707564454.5053
MEM 123.550781 1707564454.6079
MEM 123.550781 1707564454.7083
MEM 123.582031 1707564454.8103
MEM 123.789062 1707564454.9114
MEM 123.785156 1707564455.0167
MEM 123.785156 1707564455.1186
MEM 123.785156 1707564455.2249
MEM 123.785156 1707564455.3292
MEM 123.785156 1707564455.4304
MEM 123.785156 1707564455.5358
MEM 123.785156 1707564455.6412
MEM 123.785156 1707564455.7427
MEM 123.785156 1707564455.8481
MEM 123.785156 1707564455.9535
MEM 123.785156 1707564456.0589
MEM 123.785156 1707564456.1604
MEM 123.785156 1707564456.2642
MEM 123.785156 1707564456.3694
MEM 123.785156 1707564456.4722
MEM 123.785156 1707564456.5746
MEM 123.785156 1707564456.6749
MEM 123.785156 1707564456.7789
MEM 123.785156 1707564456.8814
MEM 123.785156 1707564456.9818
MEM 123.785156 1707564457.0865
MEM 123.785156 1707564457.1874
MEM 123.785156 1707564457.2916
MEM 123.785156 1707564457.3922
MEM 123.785156 1707564457.4959
MEM 123.789062 1707564457.5963
MEM 123.789062 1707564457.6968
MEM 123.691406 1707564457.7975
MEM 123.890625 1707564457.9005
MEM 123.890625 1707564458.0053
MEM 123.894531 1707564458.1105
MEM 123.894531 1707564458.2129
MEM 123.894531 1707564458.3149
MEM 123.898438 1707564458.4173
MEM 123.898438 1707564458.5185
MEM 123.898438 1707564458.6240
MEM 118.250000 1707564458.7246
