CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707395058.4109
MEM 12.941406 1707395058.5114
MEM 19.511719 1707395058.6116
MEM 26.621094 1707395058.7119
MEM 32.628906 1707395058.8145
MEM 40.664062 1707395058.9153
MEM 44.468750 1707395059.0188
MEM 47.710938 1707395059.1240
MEM 52.031250 1707395059.2268
MEM 60.660156 1707395059.3319
MEM 69.121094 1707395059.4326
MEM 72.164062 1707395059.5373
MEM 89.531250 1707395059.6432
MEM 101.734375 1707395059.7482
MEM 101.734375 1707395059.8514
MEM 101.734375 1707395059.9538
MEM 102.906250 1707395060.0544
MEM 102.906250 1707395060.1584
MEM 102.906250 1707395060.2597
MEM 102.906250 1707395060.3632
MEM 103.230469 1707395060.4684
MEM 103.230469 1707395060.5693
MEM 103.230469 1707395060.6702
MEM 103.359375 1707395060.7709
MEM 103.359375 1707395060.8716
MEM 103.359375 1707395060.9771
MEM 103.363281 1707395061.0777
MEM 103.421875 1707395061.1815
MEM 103.765625 1707395061.2839
MEM 104.031250 1707395061.3848
MEM 104.082031 1707395061.4861
MEM 104.113281 1707395061.5866
MEM 104.144531 1707395061.6917
MEM 104.167969 1707395061.7964
MEM 104.191406 1707395061.8968
MEM 104.882812 1707395062.0011
MEM 105.402344 1707395062.1056
MEM 129.519531 1707395062.2066
MEM 129.519531 1707395062.3120
MEM 129.519531 1707395062.4173
MEM 129.519531 1707395062.5206
MEM 129.519531 1707395062.6260
MEM 129.519531 1707395062.7297
MEM 129.519531 1707395062.8351
MEM 129.519531 1707395062.9405
MEM 129.519531 1707395063.0452
MEM 129.519531 1707395063.1470
MEM 129.519531 1707395063.2475
MEM 129.519531 1707395063.3482
MEM 129.519531 1707395063.4503
MEM 129.519531 1707395063.5557
MEM 129.519531 1707395063.6605
MEM 129.519531 1707395063.7630
MEM 129.519531 1707395063.8635
MEM 129.519531 1707395063.9689
MEM 129.519531 1707395064.0744
MEM 129.519531 1707395064.1798
MEM 129.519531 1707395064.2852
MEM 129.519531 1707395064.3882
MEM 129.523438 1707395064.4931
MEM 129.523438 1707395064.5985
MEM 129.523438 1707395064.7040
MEM 129.523438 1707395064.8074
MEM 129.523438 1707395064.9128
MEM 129.523438 1707395065.0183
MEM 129.523438 1707395065.1237
MEM 129.523438 1707395065.2248
MEM 129.523438 1707395065.3302
MEM 129.523438 1707395065.4356
MEM 129.523438 1707395065.5403
MEM 129.523438 1707395065.6458
MEM 129.523438 1707395065.7512
MEM 129.523438 1707395065.8534
MEM 129.523438 1707395065.9560
